kappa,Omega_real,Omega_imag,Q,sigma_ratio,raw_residual,mode_overlap,source_code
0.395000105311809,0.89791571130011,0.000475100065449355,944.975360559939,1.95843694375567e-13,2.77585435973602e-12,0.999956512862786,2
0.400000105311809,0.897953425766094,0.000479137134826492,937.052631175484,1.64230361659114e-13,2.32572230001867e-12,0.999956418024297,2
0.405000105311809,0.897989101730607,0.000482953285826188,929.685259511608,1.34178814026903e-13,1.89175778888023e-12,0.999956319902466,2
0.410000105311808,0.89802277015537,0.000486551833231147,922.843887147318,1.12060364286598e-13,1.58522477977091e-12,0.999956218496687,2
0.415000105311808,0.898054460115524,0.000489936000066406,916.501808393138,9.33207691672026e-14,1.31270296177046e-12,0.999956113799014,2
0.420000105311808,0.89808419884855,0.000493108903147918,910.634743274094,7.62881968085948e-14,1.06650580439333e-12,0.999956005794526,2
0.425000105311808,0.898112011800095,0.000496073540006144,905.220637033948,6.03504084761089e-14,8.5134143133227e-13,0.999955894461643,2
0.430000105311808,0.898137922666757,0.000498832777075178,900.239482991512,4.87975380357604e-14,6.81813888245099e-13,0.999955779772423,2
0.435000105311808,0.898161953435904,0.000501389339047458,895.673166029254,3.74508143045828e-14,5.26285057380705e-13,0.999955661692823,2
0.440000105311808,0.898184124422603,0.000503745799302519,891.505324378108,3.02264256805456e-14,4.28879925237659e-13,0.999955540182935,2
0.445000105311809,0.898204454303705,0.000505904571326798,887.721227689297,2.20880482646222e-14,3.29975176321152e-13,0.999955415197198,2
0.450000105311809,0.898222960149166,0.000507867901048778,884.307669665951,1.82872560909058e-14,2.63684492269023e-13,0.999955286684581,2
0.455000105311809,0.898239657450645,0.000509637860021658,881.252873768515,1.33149216339188e-14,2.06240700780173e-13,0.999955154588753,2
0.460000105311808,0.898254560147437,0.000511216339391973,878.546410718989,9.95486781349641e-15,1.65823921901381e-13,0.99995501884822,2
0.465000105311808,0.898267680649788,0.000512605044599555,876.179126711006,6.82829370459624e-15,1.35594250026267e-13,0.999954879396462,2
0.470000105311808,0.898279029859645,0.000513805490760401,874.143081392772,5.81781962637903e-15,1.27649494788561e-13,0.999954736162031,2
0.475000105311808,0.89828861718886,0.000514818998689475,872.431494831724,3.50516312747564e-15,9.93182768441557e-14,0.999954589068643,2
0.480000105311808,0.898296450574901,0.000515646691526743,871.038702793958,3.37217455593419e-15,1.15950101480872e-13,0.999954438035257,2
0.485000105311808,0.898302536494097,0.000516289491934658,869.960119784683,1.22522962507783e-15,8.48820811721884e-14,0.99995428297613,2
0.490000105311808,0.898306879972435,0.000516748119840534,869.192209397538,1.45646803733697e-15,7.39688681972589e-14,0.999954123800865,2
0.495000105311808,0.898309484593936,0.000517023090702707,868.732461613086,9.39753760330763e-16,8.59355137562581e-14,0.999953960414444,2
0.5,0.898310352506633,0.000517114714283601,868.579376774389,4.95528274381409e-16,7.55773571309831e-14,0.99995379466544,2
