theta_deg,frequency_hz,rayleigh_frequency_hz,eta_0,eta_m1,eta_p1,eta_total,kn_m1_real,kn_m1_imag,large_groove_probe_abs_pa
7.6,179420,178542.895382466,0.999997221396364,2.77860362241231e-06,-1.77692938689824e-31,0.999999999999986,78.965124316216,0,8878.40044519085
7.65,179420,178406.607799548,0.999997049861212,2.95013879128352e-06,-1.10619792513461e-31,1,84.8926382691885,0,8878.96395905685
7.7,179420,178270.544060673,0.999996895348799,3.10465119998679e-06,1.39151328977184e-31,0.999999999999999,90.4271550734101,0,8879.48817369103
7.75,179420,178134.703720996,0.999996754834488,3.24516551164682e-06,-4.26803084298567e-31,0.999999999999999,95.6369251102473,0,8879.97417418739
7.8,179420,177999.086336821,0.999996626048723,3.37395127297568e-06,8.20034249205105e-33,0.999999999999996,100.572425662855,0,8880.42311135793
7.85,179420,177863.691465598,0.999996507234407,3.4927655879382e-06,1.57050697244316e-31,0.999999999999995,105.272237634568,0,8880.83615444793
7.9,179420,177728.518665915,0.99999639699705,3.60300295149911e-06,3.44301276493841e-31,1,109.766637236539,0,8881.21446439623
7.95,179420,177593.567497499,0.999996294207504,3.70579249492477e-06,4.13297261599374e-31,0.999999999999999,114.079903025294,0,8881.55917842299
8,179420,177458.837521211,0.999996197936274,3.80206371972659e-06,-1.63780633496414e-31,0.999999999999994,118.231858908685,0,8881.8714011905
8.05,179420,177324.328299041,0.999996107407532,3.89259244977083e-06,-4.23929429795965e-31,0.999999999999981,122.238941362214,0,8882.15219991219
8.1,179420,177190.039394107,0.99999602196613,3.97803388053155e-06,1.68644284905492e-31,1.00000000000001,126.114958767172,0,8882.40260190063
8.15,179420,177055.970370652,0.999995941053076,4.05894693064394e-06,-1.51338734542956e-31,1.00000000000001,129.871644940793,0,8882.62359365218
