kappa,theta_deg,pole_frequency_hz,rayleigh_frequency_hz,linewidth_hz,normalized_detuning,frequency_hz,A0_real,A0_imag,Am1_real,Am1_imag,eta0,etam1,condition_number,energy_error
0.110008359353661,7.10019431012947,180000.102942381,179998.525609059,4.66743262773193e-08,-32,180000.102941634,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110010105311808,7.10030671538271,180000.12471691,179998.213737837,6.99676120884954e-08,-32,180000.124715791,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110012220588395,7.10044289746815,180000.151097059,179997.835898742,1.05059954159814e-07,-32,180000.151095378,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110014783304485,7.10060788584894,180000.183056906,179997.378138454,1.58020694189731e-07,-32,180000.183054378,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110017888105909,7.10080777386164,180000.221776508,179996.82355247,2.38096843857662e-07,-32,180000.221772699,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110021649658709,7.10104994375653,180000.268685426,179996.151661006,3.88296401215012e-07,-32,180000.268679214,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110026206883965,7.10134333933785,180000.325515519,179995.337652952,5.86823020260683e-07,-32,180000.32550613,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.11003172808841,7.10169879628202,180000.394364735,179994.35147001,8.88618195222375e-07,-32,180000.394350517,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110038417180304,7.10212944232237,180000.477774507,179993.156697263,1.34836831383803e-06,-32,180000.477752933,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110046521200145,7.10265118208906,180000.578823414,179991.709219288,2.050300214798e-06,-32,180000.578790609,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110056339444328,7.10328328450796,180000.701240589,179989.95559235,3.12437839377128e-06,-32,180000.701190599,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110068234518714,7.10404909445474,180000.849543034,179987.831072755,4.77161378572682e-06,-32,180000.849466688,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110082645730335,7.10497689494947,180001.029201825,179985.257228872,7.30359894120179e-06,-32,180001.029084967,NaN,0,NaN,0,NaN,NaN,NaN,NaN
0.110100105311808,7.10610095173737,180001.246843278,179982.139049099,1.12043896270414e-05,-32,180001.246664008,0.149192098521995,-0.98824122834963,-0.265603929576191,-0.0384144825789673,0.998879007671381,0.00112099264628718,12998702751.1434,3.17668780169811e-10
0.110121258077671,7.10746277884062,180001.510492355,179978.361439643,1.72275755285856e-05,-32,180001.510216714,0.150665874608639,-0.988012678468656,-0.254190401691032,-0.0372717615926809,0.998869258586394,0.00113074115109287,8453545065.19815,2.62513566440248e-10
0.110146885238571,7.10911267182762,180001.829867113,179973.784983781,2.65487561267576e-05,-32,180001.829442333,0.152137057455731,-0.987784551547585,-0.242770682659789,-0.0361314588712311,0.998864004527352,0.0011359953750931,5485155834.98823,9.75546310399977e-11
0.110177933252812,7.11111156543885,180002.216734778,179968.240807448,4.10055417139729e-05,-32,180002.216078689,0.153598220780015,-0.987558011226143,-0.231396699387678,-0.0349992064780033,0.99886323896372,0.00113676102833406,3551029358.55777,7.94564414263732e-12
0.110215548780812,7.11353328419323,180002.685342177,179961.524363687,6.34757872172436e-05,-32,180002.684326565,0.155041882789309,-0.987334231492262,-0.220119857683864,-0.0338806151297244,0.99886687009527,0.00113312991048106,2293742645.05635,5.75095526755831e-12
0.110261121033377,7.11646726911912,180003.252935804,179953.387909594,9.84745237296662e-05,-32,180003.251360211,0.156460652381837,-0.98711437607184,-0.208989737177516,-0.0327811351879351,0.998874727191449,0.00112527280285186,1478344119.46908,5.6994409192157e-12
0.110316333077825,7.12002188135479,180003.940389812,179943.531402529,0.000153097242531128,-32,180003.937940256,0.157847322959272,-0.986899585034632,-0.198053146866269,-0.0317059581716611,0.998886568306938,0.00111343169427572,950752378.280196,1.21413989973007e-12
0.110383223996764,7.12432840468325,180004.772963807,179931.591486226,0.000238512007313844,-32,180004.769147615,0.159194940254717,-0.986690965324598,-0.187353333508443,-0.0306599333471795,0.998902090055891,0.00109790996047911,610163481.881501,1.6370016453493e-11
0.11046426419517,7.1295458949104,180005.78121646,179917.128169993,0.000372321771301893,-32,180005.775259312,0.160496838905415,-0.98648958603416,-0.176929374400784,-0.0296475037847713,0.99892093865248,0.00107906135072683,390789734.806752,3.2067681843273e-12
0.110562446636999,7.13586705531347,180007.002105813,179899.608723704,0.000582306968889987,-32,180006.992788901,0.161746675620927,-0.986296475332916,-0.16681553483447,-0.0286726326325998,0.998942724328555,0.00105727567130881,249801235.085407,1.36446409726432e-13
0.110681397380866,7.14352535534619,180008.480312714,179878.38821524,0.000912357296762787,-32,180008.465714997,0.162938409051493,-0.986112624857576,-0.157040957493449,-0.0277387642951253,0.998967034047729,0.00103296595546326,159383096.033401,3.19277937421703e-12
0.110825509497077,7.15280365580114,180010.269830077,179852.68600303,0.00143187501677811,-32,180010.246920077,0.164066270939681,-0.985938996634775,-0.147629336147317,-0.0268487758075118,0.99899344634524,0.0010065536551534,101515700.298787,3.93463039927155e-13
0.111000105311808,7.16404465941577,180012.435867615,179821.557361547,0.00225067950860717,-32,180012.399856743,0.165124696552182,-0.985776536233304,-0.138598805059356,-0.0260049465553296,0.99902154479958,0.000978455201575772,64553533.0598992,1.15574216863479e-12
0.111050105311808,7.16726382724309,180013.05576212,179812.644952429,0.00252553631775918,-32,180013.015353538,0.165382097082167,-0.985737121123984,-0.13636499548519,-0.0257979577615612,0.999028909997094,0.000971090003058845,57520339.2684736,1.53210777398272e-13
0.111438068274771,7.19224245196214,180017.859542521,179743.522671484,0.00531739809766236,-32,180017.774464151,0.166918742849958,-0.985502964256191,-0.122588003885218,-0.0245393401935692,0.999077959272349,0.000922040727748979,27291094.6718604,9.81437153768638e-14
0.111826031237734,7.21722155614922,180022.652445826,179674.455986164,0.0093791081537811,-32,180022.502380096,0.167934102599698,-0.98534996720602,-0.112844030257696,-0.0236712506277454,0.999116420688872,0.000883579311152755,15456228.8519321,2.44249065417534e-14
0.112213994200697,7.24220114898927,180027.434478016,179605.44481752,0.0148371015020847,-32,180027.197084392,0.168648839108281,-0.985243803076124,-0.105434764927149,-0.0230259379311129,0.999147782432475,0.000852217567581006,9760249.6152978,5.6399329650958e-14
0.11260195716366,7.26718123965494,180032.205645334,179536.48908679,0.0218009302366212,-32,180031.85683045,0.169170959581086,-0.985167657146951,-0.0995280501884259,-0.0225218381675327,0.999174126253998,0.000825873745943774,6635595.5713982,5.79536418854332e-14
0.112989920126623,7.29216183730638,180036.96595428,179467.588715394,0.0303673369087284,-32,180036.480076889,0.16956073481985,-0.98511213928748,-0.0946590856706899,-0.0221137472159698,0.999196769764204,0.00080323023577737,4758754.12322945,1.88737914186277e-14
