kappa,delta_kappa,Omega_real,Omega_imag,q_real,q_imag,A0_over_C,Am1_over_C,sigma_ratio,A0_real,A0_imag,Am1_real,Am1_imag
0.110408685101125,0.000408579789316444,0.890025060851897,6.84451565357226e-10,0.027783113592865,2.19262338640002e-08,2.86476779549824e-05,0.000216856435641885,1.42056002489739e-13,2.76183493444666e-06,2.85142371458058e-05,1.81157942132911e-05,0.000216098430534154
0.110560782007794,0.000560676695985069,0.890034413888517,1.4296002090107e-09,0.0325443605450959,3.90972003385538e-08,3.93263707437028e-05,0.000297293907422945,3.8447232899336e-13,3.78169396255044e-06,3.91441212271367e-05,2.26576251643238e-05,0.000296429248578334
0.110769498134558,0.00076939282274989,0.890047235194056,3.00058053460743e-09,0.0381208004732786,7.00577735946675e-08,5.39929498169473e-05,0.000407420820309033,9.9148218219222e-13,5.17020859246898e-06,5.37448376408911e-05,2.75073875811463e-05,0.000406491166508875
0.111055910412927,0.00105580510111804,0.8900648039697,6.32556002278008e-09,0.0446515492882978,1.2609099642484e-07,7.41430579299696e-05,0.000558066789613578,1.31065845127991e-13,7.05260243995282e-06,7.38068685017241e-05,3.19063004541195e-05,0.000557153955079686
0.111448941821048,0.00144883650923949,0.890088865123099,1.33829295926564e-08,0.0522991857034427,2.27766387811383e-07,0.000101838830795426,0.000763899188007038,4.68344580200911e-13,9.58863804875677e-06,0.000101386416635313,3.42611130039334e-05,0.000763130490528025
0.111988282133726,0.00198817682191763,0.890121793389202,2.83941342315055e-08,0.0612535386632308,4.12616776686781e-07,0.000139928215500297,0.00104468514394588,1.68285054307187e-12,1.29737984670299e-05,0.000139325468046709,3.14890331620448e-05,0.00104421046287219
0.112728395943638,0.00272829063182937,0.890166810422891,6.03531695562458e-08,0.0717359813083399,7.48918289858947e-07,0.000192353157480494,0.00142688296552546,6.04542263884837e-12,1.74298352909405e-05,0.000191561838669518,1.79134990459447e-05,0.00142677051548546
0.113744022698668,0.00374391738685921,0.890228267469491,1.28362108726043e-07,0.0840042314483418,1.3603073998741e-06,0.00026458575262186,0.00194557181658633,2.17738168181127e-11,2.31702275107225e-05,0.00026356927181972,-1.65638699122864e-05,0.00194550130601564
0.115137724169602,0.00513761885779307,0.890312004762708,2.72760177786514e-07,0.0983576059227822,2.46896677106183e-06,0.000364250810914002,0.00264664629963806,7.86028624604608e-11,3.03107127330738e-05,0.000362987484557141,-8.94268623126502e-05,0.00264513505736187
0.117050241519567,0.00705013620775802,0.890425791667482,5.77951418723568e-07,0.115142583285455,4.46943984473976e-06,0.000502023407743826,0.0035890357747986,7.2517818932151e-16,3.86642362469975e-05,0.000500532295419747,-0.00023022388144217,0.00358164414161959
0.119674707870647,0.00967460255883829,0.890579832259266,1.21821106014399e-06,0.134758367931799,8.05081137631835e-06,0.00069293606282555,0.00484639975498667,2.92635497230641e-16,4.72976973533763e-05,0.000691319980175058,-0.000487698630910115,0.0048217984850617
0.123276151605564,0.0132760462937559,0.890787279610486,2.54623034947594e-06,0.157661889411419,1.43861627863192e-05,0.000958303635608752,0.00650725118467076,7.07546464898779e-17,5.36049251844428e-05,0.000956803203389768,-0.000940117353781804,0.00643898263249074
0.128218259920437,0.0182181546086287,0.891064618454458,5.25588116364397e-06,0.184371235671016,2.54016290918672e-05,0.00132858073978656,0.00867169851136702,3.78666787625769e-16,5.14024530343553e-05,0.00132758599343088,-0.00170910821565326,0.00850160597647477
0.135000105311809,0.025,0.891431628648933,1.06581291375168e-05,0.215465850138465,4.40951241660877e-05,0.00184762541413037,0.011442044945867,2.58715152890705e-15,2.70619830430041e-05,0.00184742721643214,-0.00297586380663965,0.0110482861633637
