mode,level_pct,sample,delta_d1_pct,delta_d2_pct,delta_w1_pct,delta_w2_pct,delta_g_pct,geometry_valid,solver_ok,strict_sigma_ratio,strict_raw_residual,full_sigma_ratio,full_raw_residual,threshold_amplitude_error,finite_open_amplitude_error,strict_threshold_amplitude,strict_sigma_over_baseline,strict_raw_over_baseline
independent,1,91,0.77231070364528,0,0,0,0,1,1,0.00677998087088344,0.0661436352276661,0.00398224919771963,0.0523127617704279,0.0103708578742112,0.0142256682630383,0,37.2317041655861,29.7968244942646
independent,1,92,0,0.945323083935421,0,0,0,1,1,0.00209100572261523,0.0376818946541433,0.00135831911285459,0.0185614674093095,0.0068450454997079,0.00363303745991456,0,11.4825849741393,16.9751903982326
independent,1,93,0,0,0.245946808409205,0,0,1,1,0.0147930844878203,0.160695269870565,0.0083000955335873,0.105699222655259,0.0719085889284577,0.0076270381429693,0,81.2349998968773,72.3910734103246
independent,1,94,0,0,0,0.962164271975554,0,1,1,0.000778860551099384,0.013734423396732,0.000447934348803411,0.0061855398937193,0.00324181502465873,0.00120072326148668,0,4.27704829512286,6.18717435281165
independent,1,95,0,0,0,0,0.971428337752346,1,1,0.000719343399404179,0.0109069612444515,0.000151795585355122,0.00209470145982645,0.00411659528909026,0.0009098714565313,0,3.95021477938088,4.91344040659458
independent,1,96,-0.808155067208768,0,0,0,0,1,1,0.00666093781719451,0.0690844936262262,0.00363312723355019,0.0524968168684144,0.0105978720062403,0.0142849676064797,0,36.5779890825616,31.1216419353194
independent,1,97,0,-0.497213840952939,0,0,0,1,1,0.00104197880951722,0.0185158698215951,0.000475540834299982,0.0065951236364936,0.00375659523552472,0.00222233696008165,0,5.72194044814462,8.34115212346164
independent,1,98,0,0,0.726999284402733,0,0,1,1,0.0434868113657831,0.416701750499646,0.0224441973844122,0.248312288413949,0.206865528671667,0.0207673377423202,0,238.804227727049,187.718574634636
independent,1,99,0,0,0,0.525145182280272,0,1,1,0.00045959756873801,0.00813402068522639,0.000317412589541091,0.00438123233133074,0.00173430610998009,0.000575705488374102,0,2.52384203441662,3.66426771005523
independent,1,100,0,0,0,0,-0.61720862292545,1,1,0.000478167019865294,0.00713827602137292,0.000155085979473764,0.00213913703388378,0.00262181507880996,0.000598667105870918,0,2.62581463936266,3.21569803456313
independent,2,1,-0.640255830834075,0,0,0,0,1,1,0.00525171787251101,0.0541311642590588,0.00286321936155444,0.0409992396222629,0.00837073543979346,0.011290993239379,0,28.8393743159593,24.3853667181379
