kappa,Omega_real,Omega_imag,Q,q_real,q_imag,sigma_ratio,residual,mode_overlap,fixed_order
0.214,0.467753241535984,0.174094732710609,1.34338711531702,0.122178249290116,0.666512869785539,5.40621526851428e-12,8.11689355027164e-12,0.999997354747516,-1
0.212,0.466889461630014,0.174116012889516,1.34074245637096,0.121451158152037,0.669346696697495,5.37187639030732e-12,8.06420909233993e-12,0.999997359037608,-1
0.21,0.466032081761336,0.174138033100002,1.33811113363646,0.12073389458819,0.67217172407322,5.34126732127634e-12,8.01710782079056e-12,0.999997362768066,-1
0.208,0.465181043952494,0.174160769660735,1.33549319074171,0.120026255652465,0.674988053288381,5.31441002901962e-12,7.97554264975348e-12,0.999997365961402,-1
0.206,0.46433629080261,0.174184201705833,1.33288864964572,0.119328045123597,0.67779578600091,5.29057760948608e-12,7.93855987010388e-12,0.999997368638943,-1
0.204,0.463497765494589,0.174208311044563,1.33029751197124,0.118639073237883,0.680595024017415,5.26942163077681e-12,7.9057729994981e-12,0.999997370820895,-1
0.202,0.462665411799866,0.174233082027657,1.32771976026466,0.11795915643269,0.683385869171457,5.25112278850934e-12,7.87700706396188e-12,0.999997372526413,-1
0.2,0.461839174081021,0.174258501419933,1.32515535918694,0.117288117100411,0.686168423212728,5.23505249449151e-12,7.85169011124284e-12,0.999997373773663,-1
0.198,0.461018997292542,0.17428455827891,1.32260425663978,0.116625783352531,0.68894278770624,5.2210682890796e-12,7.82971261106912e-12,0.999997374579882,-1
0.196,0.460204826980022,0.174311243839127,1.32006638483042,0.115971988793447,0.691709063940714,5.20930667047703e-12,7.81081871614887e-12,0.99999737496143,-1
0.194,0.459396609278014,0.174338551401899,1.31754166127886,0.115326572303685,0.694467352845397,5.19911006459679e-12,7.79458806859129e-12,0.999997374933843,-1
0.192,0.45859429090676,0.174366476230224,1.31502998977067,0.114689377832182,0.697217754914635,5.19079023375971e-12,7.78095307419426e-12,0.999997374511879,-1
0.19,0.457797819167986,0.174395015448613,1.31253126125867,0.114060254197283,0.699960370139558,5.18413529594239e-12,7.76998780504735e-12,0.999997373709567,-1
0.188,0.457007141939943,0.174424167947587,1.31004535471618,0.113439054896127,0.702695297946286,5.17899777643488e-12,7.76098223310873e-12,0.999997372540245,-1
