deltaKappa,kappa,Omega,thetaDeg,sigmaRelative,rawResidual
-0.00018,0.0836686965529006,0.916331303447099,5.23887979366158,0.00137095720165095,0.0235462983124785
-0.000175,0.0836736965529006,0.916326303447099,5.23922241000169,0.00133279674656562,0.0228970564632891
-0.00017,0.0836786965529006,0.916321303447099,5.23956503026872,0.0012946407801758,0.0222475284206239
-0.000165,0.0836836965529006,0.916316303447099,5.23990765446274,0.00125648930126476,0.0215977150910663
-0.00016,0.0836886965529006,0.916311303447099,5.24025028258384,0.00121834230861677,0.0209476173852507
-0.000155,0.0836936965529006,0.916306303447099,5.24059291463208,0.00118019980101586,0.0202972362178379
-0.00015,0.0836986965529006,0.916301303447099,5.24093555060756,0.00114206177724271,0.0196465725074988
-0.000145,0.0837036965529006,0.916296303447099,5.24127819051034,0.00110392823608189,0.0189956271769393
-0.00014,0.0837086965529006,0.916291303447099,5.24162083434052,0.0010657991763168,0.0183444011529239
-0.000135,0.0837136965529006,0.916286303447099,5.24196348209817,0.00102767459672734,0.0176928953661298
-0.00013,0.0837186965529006,0.916281303447099,5.24230613378337,0.000989554496096195,0.0170411107513721
-0.000125,0.0837236965529006,0.916276303447099,5.24264878939621,0.000951438873206161,0.0163890482474091
-0.00012,0.0837286965529006,0.916271303447099,5.24299144893675,0.000913327726838437,0.0157367087971399
-0.000115,0.0837336965529006,0.916266303447099,5.24333411240508,0.000875221055774659,0.0150840933473166
-0.00011,0.0837386965529006,0.916261303447099,5.24367677980129,0.000837118858795195,0.0144312028488449
-0.000105,0.0837436965529006,0.916256303447099,5.24401945112544,0.00079902113468294,0.013778038256614
-0.0001,0.0837486965529006,0.916251303447099,5.24436212637763,0.000760927882218145,0.0131246005295756
-9.5e-05,0.0837536965529006,0.916246303447099,5.24470480555793,0.000722839100180253,0.0124708906305637
-9e-05,0.0837586965529006,0.916241303447099,5.24504748866641,0.000684754787351788,0.0118169095266133
-8.5e-05,0.0837636965529006,0.916236303447099,5.24539017570317,0.000646674942514236,0.0111626581887534
-8e-05,0.0837686965529006,0.916231303447099,5.24573286666828,0.00060859956444429,0.0105081375918823
-7.5e-05,0.0837736965529006,0.916226303447099,5.24607556156182,0.000570528651923383,0.00985334871506002
-7e-05,0.0837786965529006,0.916221303447099,5.24641826038387,0.000532462203731656,0.00919829254135433
-6.5e-05,0.0837836965529006,0.916216303447099,5.24676096313451,0.000494400218648857,0.00854297005779504
-6e-05,0.0837886965529006,0.916211303447099,5.24710366981383,0.000456342695455114,0.00788738225548014
-5.5e-05,0.0837936965529006,0.916206303447099,5.24744638042189,0.000418289632928659,0.00723153012949801
-5e-05,0.0837986965529006,0.916201303447099,5.24778909495878,0.0003802410298506,0.00657541467901816
-4.5e-05,0.0838036965529006,0.916196303447099,5.24813181342458,0.000342196884999242,0.005919036907152
-4e-05,0.0838086965529006,0.916191303447099,5.24847453581938,0.000304157197151233,0.00526239782098007
-3.5e-05,0.0838136965529006,0.916186303447099,5.24881726214324,0.000266121965088341,0.00460549843171099
