kappa,delta,Omega_real,Omega_imag,Q,sigma_ratio,raw_residual,A0_over_C,Am1_over_C,flux_0,flux_m1,ky_0_real,ky_0_imag,ky_m1_real,ky_m1_imag,is_m1_open,is_m1_threshold
0.1098419914288,-0.000158113883008419,0.889990139788033,3.63651971127595e-11,12236839209.5936,6.69478393534758e-16,1.08441628984671e-13,1.10574521571229e-05,8.63168910002079e-05,1.21332467145331e-10,0,5.54922014350872,2.30249620839215e-10,-1.17635381373555e-08,-0.108615776909739,0,0
0.109866546974382,-0.000133558337426825,0.889991655331653,2.59559848619209e-11,17144247464.8174,9.20414843259806e-16,1.30869874256098e-13,9.34168352899782e-06,7.27554188914458e-05,8.65995631200594e-11,0,5.54921054845932,1.64343291336189e-10,-9.13573446873974e-09,-0.0998250911267026,0,0
0.109887288972365,-0.000112816339443564,0.889992935341437,1.85255976088226e-11,24020626868.1338,8.65305226696e-17,1.3399406242616e-13,7.89201141825075e-06,6.13360155783602e-05,6.18072684753643e-11,0,5.54920243915872,1.17297283425019e-10,-7.09465745325129e-09,-0.0917459899336671,0,0
0.109904809677776,-9.52956340327206e-05,0.889994016443735,1.32218460927291e-11,33656193325.876,2.00767216137983e-16,1.06089246175369e-13,6.6672024702509e-06,5.1717684481481e-05,4.41113515975757e-11,0,5.54919558612257,8.37160808781965e-11,-5.50939575114127e-09,-0.0843208452397952,0,0
0.109919609366713,-8.04959450952682e-05,0.889994929563233,9.43623669895711e-12,47158361853.1737,1.41556922293648e-16,1.33348991545842e-13,5.63240348018398e-06,4.36143342265799e-05,3.14810851838401e-11,0,5.5491897951464,5.97470568037193e-11,-4.2782176426967e-09,-0.0774967020369366,0,0
0.109932110620944,-6.79946908643852e-05,0.889995700812283,6.73432585008729e-12,66079049382.556,6.18990798991036e-16,1.50408019245284e-13,4.7581566258037e-06,3.67857911434639e-05,2.24666793179488e-11,0,5.5491849019295,4.26395463999916e-11,-3.32207884296755e-09,-0.0712248981112658,0,0
0.109942670394059,-5.74349177498517e-05,0.889996352241019,4.80595875607769e-12,92593007702.7311,5.36056052796415e-16,1.08153061270343e-13,4.01956603779312e-06,3.10303179405463e-05,1.6033159523859e-11,0,5.54918076750426,3.04298022712615e-11,-2.57956964751545e-09,-0.0654607150015438,0,0
0.109951590203717,-4.85151080914773e-05,0.889996902470202,3.42970602108662e-12,129748278277.831,2.34141889763987e-16,9.701483612931e-14,3.39559262719729e-06,2.61783777817748e-05,1.14417222086351e-11,0,5.54917727435429,2.17158347765014e-11,-2.00297361370336e-09,-0.0601630575714819,0,0
0.10995912474101,-4.09805707980457e-05,0.889997367225215,2.44752123377198e-12,181816066587.01,4.26179718331109e-16,1.4342083246103e-13,2.86845756651195e-06,2.20874300780445e-05,8.16500842422069e-12,0,5.54917432312046,1.54969616694675e-11,-1.55523371907512e-09,-0.055294159795951,0,0
0.109965489142763,-3.46161690450538e-05,0.88999775978673,1.74657631924466e-12,254783529920.875,1.04472490230274e-16,1.19835918000083e-13,2.42313778035509e-06,1.86375826062348e-05,5.82660542678195e-12,0,5.54917182980777,1.10588010427162e-11,-1.2075563734783e-09,-0.0508193145806722,0,0
0.109970865134426,-2.92401773821286e-05,0.889998091371094,1.24636360757283e-12,357037900482.458,2.4484142381079e-16,1.56236381382747e-13,2.04693931878417e-06,1.57279553794304e-05,4.15785175602834e-12,0,5.5491697234183,7.8916090744595e-12,-9.37594561107846e-10,-0.0467066256157672,0,0
0.109975406218959,-2.46990928495167e-05,0.889998371451442,8.89392067901857e-13,500340852797.92,4.37953891643806e-16,1.00007131056856e-13,1.72913663960008e-06,1.32736370918037e-05,2.96699910471898e-12,0,5.54916794394637,5.63137348576661e-12,-7.27970689406929e-10,-0.0429267794463871,0,0
0.109979242059865,-2.08632519432629e-05,0.889998608028837,5.91851896408636e-13,751876114133.754,3.46128228776815e-13,7.13655921999576e-12,1.4606675324908e-06,1.12031348227588e-05,2.11719718200472e-12,0,5.54916644068145,3.74743713831887e-12,-5.27088911483698e-10,-0.0394528360461735,0,0
0.10998248218353,-1.76231282784371e-05,0.88999880786094,4.22336548347209e-13,1053660654451.88,2.48761834474712e-13,5.1245789912747e-12,1.23387587596309e-06,9.45623925545157e-06,1.51078027150562e-12,0,5.54916517077019,2.6741155909135e-12,-4.09241425812938e-10,-0.03626003665253,0,0
0.109985219106572,-1.48862052360222e-05,0.889998976655627,3.0136599551929e-13,1476608160655.37,1.79111240943888e-13,3.70415869423548e-12,1.04229287941275e-06,7.98222724568287e-06,1.07804709549356e-12,0,5.54916409800323,1.90816499064561e-12,-3.1773507945923e-10,-0.0333256267365214,0,0
0.109987530977512,-1.25743342968294e-05,0.889999119233931,2.15045092581077e-13,2069331386621.58,1.29370521162471e-13,2.67920798481781e-12,8.80453560425513e-07,6.73835983107865e-06,7.69256119377933e-13,0,5.54916319178542,1.36160567523523e-12,-2.4668933431435e-10,-0.0306286938417586,0,0
0.109989483808175,-1.06215036338347e-05,0.889999239667928,1.53449103718764e-13,2899981877049.89,9.25125845688097e-14,1.93711864478631e-12,7.43740937507746e-07,5.68861727265075e-06,5.48910207242978e-13,0,5.54916242626686,9.71597282560608e-13,-1.91529222856342e-10,-0.0281500183284944,0,0
0.10999113335856,-8.97195324861138e-06,0.889999341397117,1.09493821448134e-13,4064153253700.72,6.6824164491454e-14,1.38263414791979e-12,6.28254510113098e-07,4.80263685306253e-06,3.91677895560932e-13,0,5.54916177960771,6.93284752762862e-13,-1.48699703453613e-10,-0.0258719362787201,0,0
0.109992526728976,-7.57858283255199e-06,0.889999427326712,7.81291385576476e-14,5695694613796.53,4.78610529118637e-14,9.80819080416665e-13,5.30699119785681e-07,4.05481995821584e-06,2.79482412014617e-13,0,5.54916123335675,4.94692306413629e-13,-1.15447166246821e-10,-0.0237782135190861,0,0
